system_timestamp,leap_timestamp
2021-09-13 16:08:27.000456,75262771901
2021-09-13 16:08:29.000614,75264772059
2021-09-13 16:08:31.000066,75266771513
2021-09-13 16:08:33.000516,75268771961
2021-09-13 16:08:35.000741,75270772186
2021-09-13 16:08:37.000120,75272771565
2021-09-13 16:08:39.000584,75274772029
2021-09-13 16:08:41.000711,75276772156
2021-09-13 16:08:43.000110,75278771552
2021-09-13 16:08:45.000963,75280772407
2021-09-13 16:08:47.000428,75282771872
2021-09-13 16:08:49.000929,75284772373
2021-09-13 16:08:51.000380,75286771825
2021-09-13 16:08:53.000831,75288772276
2021-09-13 16:08:55.000281,75290771726
2021-09-13 16:08:57.000732,75292772176
2021-09-13 16:08:59.000184,75294771629
2021-09-13 16:09:01.000635,75296772083
2021-09-13 16:09:03.000084,75298771529
2021-09-13 16:09:05.000535,75300771982
2021-09-13 16:09:07.000066,75302771513
2021-09-13 16:09:09.000355,75304771800
2021-09-13 16:09:11.000747,75306772194
2021-09-13 16:09:13.000214,75308771659
2021-09-13 16:09:15.000535,75310771981
2021-09-13 16:09:17.000985,75312772432
2021-09-13 16:09:19.000436,75314771882
2021-09-13 16:09:21.000065,75316771510
2021-09-13 16:09:23.000562,75318772007
2021-09-13 16:09:25.000201,75320771647
2021-09-13 16:09:27.000647,75322772090
2021-09-13 16:09:29.000649,75324772096
2021-09-13 16:09:31.000979,75326772424
2021-09-13 16:09:33.000431,75328771876
2021-09-13 16:09:35.000481,75330771925
2021-09-13 16:09:37.000243,75332771688
2021-09-13 16:09:39.000356,75334771802
2021-09-13 16:09:41.000190,75336771636
2021-09-13 16:09:43.000249,75338771698
2021-09-13 16:09:45.000589,75340772033
2021-09-13 16:09:47.000152,75342771601
2021-09-13 16:09:49.000361,75344771807
2021-09-13 16:09:51.000818,75346772263
2021-09-13 16:09:53.000270,75348771716
2021-09-13 16:09:55.000821,75350772266
2021-09-13 16:09:57.000687,75352772134
2021-09-13 16:09:59.000633,75354772077
2021-09-13 16:10:01.000835,75356772279
2021-09-13 16:10:03.000286,75358771732
2021-09-13 16:10:05.000265,75360771709
2021-09-13 16:10:07.000174,75362771620
2021-09-13 16:10:09.000293,75364771739
2021-09-13 16:10:11.000989,75366772434
2021-09-13 16:10:13.000110,75368771555
2021-09-13 16:10:15.000561,75370772008
2021-09-13 16:10:17.000029,75372771474
2021-09-13 16:10:19.000921,75374772366
2021-09-13 16:10:21.000410,75376771855
2021-09-13 16:10:23.000454,75378771898
2021-09-13 16:10:25.000009,75380771455
2021-09-13 16:10:27.000023,75382771468
2021-09-13 16:10:29.000272,75384771717
2021-09-13 16:10:31.000470,75386771919
2021-09-13 16:10:33.000384,75388771830
2021-09-13 16:10:35.000287,75390771731
2021-09-13 16:10:37.000733,75392772177
